text	is_joke	clean_text	lemmas
"Сын говорит отцу: — Папа я женюсь
Отец: — На ком?
Сын: - На Иване из 5 подъезда
Отец: — Так он же пацан
Сын: - Нифига себе пацан, 38 лет"	1	сын говорит отцу — папа я женюсь отец — на ком сын на иване из подъезда отец — так он же пацан сын нифига себе пацан лет	сын говорить отец — папа жениться отец — ком сын иван подъезд отец — пацан сын нифига пацан год
"Говорят, что члены мафии - плохие люди, но когда я рос, я жил по соседству с одним из них, и он на самом деле был хорошим парнем.
Ведь каждое утро он платил мне 20 долларов только за то, чтобы я завел его машину."	1	говорят что члены мафии плохие люди но когда я рос я жил по соседству с одним из них и он на самом деле был хорошим парнем ведь каждое утро он платил мне долларов только за то чтобы я завел его машину	говорить член мафия плохой человек расти жить соседство одним самом дело хороший парень каждый утро платить долларов завести машина
"Заходит бабка в дома там дед на потолке сидит и моль ебет, она в недоумении выпаливает
-Ты как туда забрался?
А дед с потолка падает и говорит
-Ух тыж блять, напугала"	1	заходит бабка в дома там дед на потолке сидит и моль ебет она в недоумении выпаливает ты как туда забрался а дед с потолка падает и говорит ух тыж блять напугала	заходить бабка дом дед потолок сидеть моль ебет недоумение выпаливать туда забраться дед потолок падать говорить ух тыж блять напугать
"Приходит сын червячок к маме и спрашивает:
-Мам, а где наш папа?
-Не волнуйся сынок, он с мужиками на рыбалку поехал"	1	приходит сын червячок к маме и спрашивает мам а где наш папа не волнуйся сынок он с мужиками на рыбалку поехал	приходить сын червячок мама спрашивать мам наш папа волнуйся сынок мужик рыбалка поехать
"Заходит толстая радикальная фемениска в кофейню
Заказывает кофе
И просит положить столько ложек сахара сколько в мире гендеров

Ей в него нассали"	1	заходит толстая радикальная фемениска в кофейню заказывает кофе и просит положить столько ложек сахара сколько в мире гендеров ей в него нассали	заходить толстый радикальный фемениска кофейню заказывать кофе просить положить столько ложка сахар сколько мир гендер нассали
На соревновании наркоманов претенденты шли ноздря в ноздрю	1	на соревновании наркоманов претенденты шли ноздря в ноздрю	соревнование наркоман претендент идти ноздря ноздрю
В браке комплимент это всегда сарказм, всегда ирония. Что-то типа: — О-о, красавица! Красавица пошла… — Серьёзно? — Серьёзно… — Стебёшься? — Стебу!	1	в браке комплимент это всегда сарказм всегда ирония чтото типа — оо красавица красавица пошла… — серьёзно — серьёзно… — стебёшься — стебу	брак комплимент это сарказм ирония чтото тип — оо красавица красавица пойти … — серьёзно — серьёзно … — стебёшься — стебу
"- а нас на уроках трудовик заставлял из брусков вырезать лики святых
- ха ха верится с трудом!"	1	а нас на уроках трудовик заставлял из брусков вырезать лики святых ха ха верится с трудом	урок трудовик заставлять брусков вырезать лик святой ха ха верится труд
Участник питерской рок-группы не выдержал эмоционального напряжения и начал сольную карьеру	1	участник питерской рокгруппы не выдержал эмоционального напряжения и начал сольную карьеру	участник питерский рокгруппы выдержать эмоциональный напряжение начать сольный карьера
"— Штирлиц, говорят, что Вы ""голубой"", — сказал Мюллер.
— Я? — покраснел Штирлиц, — а теперь?"	1	— штирлиц говорят что вы голубой — сказал мюллер — я — покраснел штирлиц — а теперь	— штирлиц говорить голубой — сказать мюллер — — покраснеть штирлиц —
Лекция известного доктора об уходе за костями. Под конец сеанса он заканчивает свой монолог и спрашивает: — Есть вопросы? Из зала доносится: — Разрешите вопрос об осанке? Доктор смутился, но ответил: — Ну давай, обоссанка, спрашивай...	1	лекция известного доктора об уходе за костями под конец сеанса он заканчивает свой монолог и спрашивает — есть вопросы из зала доносится — разрешите вопрос об осанке доктор смутился но ответил — ну давай обоссанка спрашивай	лекция известный доктор уход кость конец сеанс заканчивать свой монолог спрашивать — вопрос зал доноситься — разрешить вопрос осанка доктор смутиться ответить — давать обоссанка спрашивай
"Чем цыган отличается от негра?
У цыгана только очи чёрные




Чем негр отличается от цыгана?
У негра цепи не золотые"	1	чем цыган отличается от негра у цыгана только очи чёрные чем негр отличается от цыгана у негра цепи не золотые	цыган отличаться негра цыган очи чёрный негр отличаться цыгана негра цепь золотой
Я часто бываю в разъездах. И когда я вдалеке от жены и дочери, я очень сильно скучаю... Очень сильно скучаю по временам, когда их не было.	1	я часто бываю в разъездах и когда я вдалеке от жены и дочери я очень сильно скучаю очень сильно скучаю по временам когда их не было	часто бывать разъезд вдалеке жена дочь очень сильно скучать очень сильно скучать время
Штирлиц сел враскоряку. Раскоряка завелась и поехала.	1	штирлиц сел враскоряку раскоряка завелась и поехала	штирлиц сесть враскоряку раскоряка завестись поехать
Странно, что вся романтика граничит с уголовкой. Например, разрисовать стены дома, сорвать цветы с клумбы, заняться любовью в подъезде. Это бродяжничество!	1	странно что вся романтика граничит с уголовкой например разрисовать стены дома сорвать цветы с клумбы заняться любовью в подъезде это бродяжничество	странно весь романтика граничить уголовка например разрисовать стена дом сорвать цветок клумба заняться любовь подъезд это бродяжничество
Очень сложно угодить женщине, когда ты её муж. Ты всегда делаешь не то, а если ты делаешь то, ты это делаешь не так.	1	очень сложно угодить женщине когда ты её муж ты всегда делаешь не то а если ты делаешь то ты это делаешь не так	очень сложный угодить женщина её муж делать делать это делать
"В кабинет к прокурору приводят маленького мальчика.
Прокурор умиляется:
— Ой, кто к нам пришел...
— Кто бабке крысиный яд в чай подсыпал - тот и пришел, — спокойно отвечает малыш."	1	в кабинет к прокурору приводят маленького мальчика прокурор умиляется — ой кто к нам пришел — кто бабке крысиный яд в чай подсыпал тот и пришел — спокойно отвечает малыш	кабинет прокурор приводить маленький мальчик прокурор умиляться — ой нам прийти — бабка крысиный яд чай подсыпать прийти — спокойно отвечать малыш
"Грузин ссыт в тёмной подворотне, из –за угла входит женщина и испуганно вскрикивает, грузин говорит:
— Нэ валнуса! Я его дэржу!"	1	грузин ссыт в тёмной подворотне из –за угла входит женщина и испуганно вскрикивает грузин говорит — нэ валнуса я его дэржу	грузин ссыт тёмный подворотне – за угол входить женщина испуганно вскрикивать грузин говорить — нэ валнуса дэржу
"Поймал как-то эстонец золотую рыбку, снимает ее с крючка, а она вдруг и говорит ему человеческим голосом:
- Отпусти меня, мил человек, я любое твоё желание исполню!

Пока эстонец думал, рыбка сдохла"	1	поймал както эстонец золотую рыбку снимает ее с крючка а она вдруг и говорит ему человеческим голосом отпусти меня мил человек я любое твоё желание исполню пока эстонец думал рыбка сдохла	поймать както эстонец золотой рыбка снимать крючка говорить человеческий голос отпусти мил человек любой твоё желание исполню пока эстонец думать рыбка сдохнуть
Женские форумы — это потрясающее интернет-пространство, это просто Мордор неадекватности. Чтобы вы понимали, нет ни одной темы, на которую бы женский форум сказал: «Так, девочки, мы в этом не разбираемся… Давайте не будем сюда лезть, я больше по электрике».	1	женские форумы — это потрясающее интернетпространство это просто мордор неадекватности чтобы вы понимали нет ни одной темы на которую бы женский форум сказал «так девочки мы в этом не разбираемся… давайте не будем сюда лезть я больше по электрике»	"женский форум — это потрясающее интернетпространство это просто мордор неадекватность понимать одной тема которую женский форум сказать "" так девочка разбираться … давать быть сюда лезть электрика """
"Что делало племя каннибалов, когда у них начал заканчиваться провиант?



Последний хуй без соли доедали"	1	что делало племя каннибалов когда у них начал заканчиваться провиант последний хуй без соли доедали	делать племя каннибал начать заканчиваться провиант последний хуй соль доедали
… Мне часто приходится ездить на поезде, а ездить в поездах очень напрягает. К примеру, вы замечали, что если ты в купе заходишь последним, то у тебя такое ощущение, как будто ты заходишь в гости?	1	… мне часто приходится ездить на поезде а ездить в поездах очень напрягает к примеру вы замечали что если ты в купе заходишь последним то у тебя такое ощущение как будто ты заходишь в гости	… часто приходиться ездить поезде ездить поезд очень напрягать пример замечать купе заходить последним такой ощущение заходить гость
"Сидят у лужи отец бегемот и его сын. Отец туда-сюда приседает и макает живот в лужу. Сын смотрит и говорит отцу:
- Папа, а сделай мне кораблик я его по луже пущу.
- Ага, вот прям ща все брошу и буду хуйней заниматься."	1	сидят у лужи отец бегемот и его сын отец тудасюда приседает и макает живот в лужу сын смотрит и говорит отцу папа а сделай мне кораблик я его по луже пущу ага вот прям ща все брошу и буду хуйней заниматься	сидеть лужа отец бегемот сын отец тудасюда приседать макать живот лужа сын смотреть говорить отец папа сделай кораблик луже пущу ага прям ща брошу быть хуйней заниматься
"Пришел мyжчина на Тайский пляж. Снимает майкy - вся спина искyсана.
Hарод:
- Мyжчина, что с вами?!
Мyжик, отмахиваясь:
- Да вчера тyт девку одну ебал - так она мне всю спину искусала..."	1	пришел мyжчина на тайский пляж снимает майкy вся спина искyсана hарод мyжчина что с вами мyжик отмахиваясь да вчера тyт девку одну ебал так она мне всю спину искусала	прийти мyжчина тайский пляж снимать майкy весь спина искyсана hарод мyжчина вами мyжик отмахиваться вчера тyт девка одну ебал спина искусать
В честь Дня космонавтики весь бюджет на 2024 полетит в черную дыру	1	в честь дня космонавтики весь бюджет на полетит в черную дыру	честь день космонавтика весь бюджет полететь чёрный дыра
"-- Тук-Тук.
-- Кто там?
-- Тук-тук.
-- Кто там?
-- Тук-Тук.
«Идиот», подумал Штирлиц.
«Е6лан», подумал Тук-Тук."	1	туктук кто там туктук кто там туктук «идиот» подумал штирлиц «е лан» подумал туктук	"туктук туктук туктук "" идиот "" подумать штирлиц "" е лан "" подумать туктук"
Зато квас раньше был какой! Только квас был, я помню когда приезжал в центр города, бочка с квасом и написано «КВАС», если вдруг ты сомневаешься, что там. Интересно, что в этой жёлтой металлической ржавой покорёженной фигне? Может быть, «Просекко» или мохито?	1	зато квас раньше был какой только квас был я помню когда приезжал в центр города бочка с квасом и написано «квас» если вдруг ты сомневаешься что там интересно что в этой жёлтой металлической ржавой покорёженной фигне может быть «просекко» или мохито	"зато квас ранний квас помнить приезжать центр город бочка квас написать "" квас "" сомневаешься интересный жёлтый металлический ржавый покорёженной фигне "" просекко "" мохито"
"Между неонацистами и эмо не должно быть никаких противоречий.
Ведь именно Гитлер ввёл моду на длинную чёлку, чёрную одежду и всемирную скорбь."	1	между неонацистами и эмо не должно быть никаких противоречий ведь именно гитлер ввёл моду на длинную чёлку чёрную одежду и всемирную скорбь	неонацист эмо должный никакой противоречие именно гитлер ввёл моду длинный чёлка чёрный одежда всемирный скорбь
Бах доказал на своём примере, что только время является объективным мерилом таланта человека. Можно вбухать сколько угодно денег в своё чадо. Но если через сто лет о нём никто не будет вспоминать — значит деньги были, но не было таланта.	1	бах доказал на своём примере что только время является объективным мерилом таланта человека можно вбухать сколько угодно денег в своё чадо но если через сто лет о нём никто не будет вспоминать — значит деньги были но не было таланта	бах доказать своём пример время являться объективный мерилом талант человек вбухать сколько угодно деньга своё чадо сто год нём никто вспоминать — значить деньга талант
В рамках борьбы с ЛГБТ-пропагандой Транссибирская магистраль была переименована в Натуралсибирскую	1	в рамках борьбы с лгбтпропагандой транссибирская магистраль была переименована в натуралсибирскую	рамка борьба лгбтпропагандой транссибирская магистраль переименовать натуралсибирскую
"У меня сломался туалет. Звоню сантехнику, а он мне говорит,

Не ссы, ща приеду"	1	у меня сломался туалет звоню сантехнику а он мне говорит не ссы ща приеду	сломаться туалет звоню сантехника говорить ссы ща приеду
"— Стол протри.
— Прочетыре.
— Хватит, ты уже этим раздражаешь.
— Двадражаешь.
— Опять?
— Ошесть."	1	— стол протри — прочетыре — хватит ты уже этим раздражаешь — двадражаешь — опять — ошесть	— стол протри — прочетыре — хватить это раздражать — двадражаешь — — ошесть
Медосмотр в поликлинике — это довольно-таки странное мероприятие. Вы видели в поликлинике эти весы, по которым понимаешь, что медицина шагает вперёд, а весы нет?	1	медосмотр в поликлинике — это довольнотаки странное мероприятие вы видели в поликлинике эти весы по которым понимаешь что медицина шагает вперёд а весы нет	медосмотр поликлиника — это довольнотаки странный мероприятие видеть поликлиника вес которым понимать медицина шагать вперёд вес
"Поезд. Три женщины в купе, мужик на верхней полке. Одна женщина говорит:
— Ох, я так люблю мужчин, которые одеваются элегантно!
Другая:
— А я вот люблю, когда мужчина поёт красиво!
Третья:
— А я историков обожаю.
С верхней полки падает мужик и говорит:
– I love Paris!"	1	поезд три женщины в купе мужик на верхней полке одна женщина говорит — ох я так люблю мужчин которые одеваются элегантно другая — а я вот люблю когда мужчина поёт красиво третья — а я историков обожаю с верхней полки падает мужик и говорит – i love paris	поезд женщина купе мужик верхний полка одна женщина говорить — ох любить мужчина которые одеваться элегантно другая — любить мужчина поёт красиво третий — историк обожать верхний полка падать мужик говорить – i love paris
Священник католической церкви был уволен, так как проигнорировал мольбы 12-детнего мальчика.	1	священник католической церкви был уволен так как проигнорировал мольбы детнего мальчика	священник католический церковь уволить проигнорировать мольба детнего мальчик
За пятнадцать лет брака я перепробовала всё. Тренинги личностного роста, семейную психотерапию, но после сорока я прозрела. Поняла, что работает только секс и насилие, и я не знаю, что мне нравится больше.	1	за пятнадцать лет брака я перепробовала всё тренинги личностного роста семейную психотерапию но после сорока я прозрела поняла что работает только секс и насилие и я не знаю что мне нравится больше	пятнадцать год брак перепробовать всё тренинг личностный рост семейный психотерапия сорока прозрела понять работать секс насилие знать нравиться
"Еврей приходит к сексопатологу и говорит
- Доктор, я недавно женился и у меня не получается с женой
- Ну, расскажите, как вы это делаете?
- Ну я ложусь на правый бок и никак
- Ну так вы попробуйте лечь на левый
- Что, прямо лицом к маме?"	1	еврей приходит к сексопатологу и говорит доктор я недавно женился и у меня не получается с женой ну расскажите как вы это делаете ну я ложусь на правый бок и никак ну так вы попробуйте лечь на левый что прямо лицом к маме	еврей приходить сексопатологу говорить доктор недавно жениться получаться жена рассказать это делать ложусь правый бок никак попробуйте лечь левый прямо лицо мама
"В Одессе на рынке:
— А какова себестоимость этих томатов?
— Это коммерческая тайна. А тебестоимость указана на этикетке"	1	в одессе на рынке — а какова себестоимость этих томатов — это коммерческая тайна а тебестоимость указана на этикетке	одесса рынок — какова себестоимость этот томат — это коммерческий тайна тебестоимость указать этикетка
На шоу «Что? Где? Когда?» матросы отправили пустой конверт, потому что у матросов нет вопросов	1	на шоу «что где когда» матросы отправили пустой конверт потому что у матросов нет вопросов	"шоу "" что когда "" матрос отправить пустой конверт матрос вопрос"
"Советский союз. Ребёнок возвращается домой после экзамена. Мать спрашивает:
— Ну, как? Сдал?
— Кого?"	1	советский союз ребёнок возвращается домой после экзамена мать спрашивает — ну как сдал — кого	советский союз ребёнок возвращаться домой экзамен мать спрашивать — сдать — кто
"— Ватсон! Вы съели 2 палки докторской колбасы?!
— Холмс! Как Вы догадались? Это потому что я – доктор?
— Нет, Ватсон! Это потому что Вас колбасит."	1	— ватсон вы съели палки докторской колбасы — холмс как вы догадались это потому что я – доктор — нет ватсон это потому что вас колбасит	— ватсон съесть палка докторский колбаса — холмс догадаться это – доктор — ватсон это колбасит
"- Как называется ночной клуб для толстых людей, больных сифилисом?
- ""Полный отпад"""	1	как называется ночной клуб для толстых людей больных сифилисом полный отпад	называться ночной клуб толстый человек больных сифилис полный отпад
Дай человеку рыбу и он будет сыт один день. Но дай свою жену рыбам и через неделю сможешь снять с нее ведро раков	1	дай человеку рыбу и он будет сыт один день но дай свою жену рыбам и через неделю сможешь снять с нее ведро раков	дать человек рыба сыт день дать жена рыбам неделя сможешь снять ведро рак
"Приходит доктор к одной женщине.
— Помните, Вы хотели разнообразить сексуальную жизнь?
— Ну.
— У меня две новости: плохая и хорошая...
— Давайте плохую.
— Ваш муж получил серьёзные травмы на почве изнасилования.
— А хорошая?
— Мы с него кастрюлю пельменей сняли."	1	приходит доктор к одной женщине — помните вы хотели разнообразить сексуальную жизнь — ну — у меня две новости плохая и хорошая — давайте плохую — ваш муж получил серьёзные травмы на почве изнасилования — а хорошая — мы с него кастрюлю пельменей сняли	приходить доктор одной женщина — помнить хотеть разнообразить сексуальный жизнь — — два новость плохой хороший — давать плохую — ваш муж получить серьёзный травма почве изнасилование — хороший — кастрюля пельменей снять
Одна семья так любила своего кота, что маленький Артёмка теперь живёт в детдоме со своей ебучей аллергией.	1	одна семья так любила своего кота что маленький артёмка теперь живёт в детдоме со своей ебучей аллергией	одна семья любить свой кот маленький артёмка живёт детдом свой ебучей аллергия
"Мать с отцом решают куда полку повесить:
-Может сюда?
-Давай тут!
Мимо проходит их пятилетний сын и говорит:
-Да вот сюда ее захуярьте!
Батя дает смачного леща отпрыску и спрашивает:
-Понял за что?
-Да, нахуй она тут не нужна."	1	мать с отцом решают куда полку повесить может сюда давай тут мимо проходит их пятилетний сын и говорит да вот сюда ее захуярьте батя дает смачного леща отпрыску и спрашивает понял за что да нахуй она тут не нужна	мать отец решать полка повесить сюда давай мимо проходить пятилетний сын говорить сюда захуярьте батя давать смачный лещ отпрыск спрашивать понять нахуй нужный
Твой внутренний голос самая беспринципная мразь на свете. С ним договориться раз плюнуть. Он тебе с утра: «Стасян, сегодня бросаем бухать!» Ты говоришь: «Давай завтра?» «А давай завтра!» Он как бы не настаивает. Он чисто на креативе живёт. Идею вкинул — ты там сам решай.	1	твой внутренний голос самая беспринципная мразь на свете с ним договориться раз плюнуть он тебе с утра «стасян сегодня бросаем бухать» ты говоришь «давай завтра» «а давай завтра» он как бы не настаивает он чисто на креативе живёт идею вкинул — ты там сам решай	"твой внутренний голос самая беспринципный мразь свет договориться плюнуть тебе утро "" стасян сегодня бросать бухать "" говорить "" давать завтра "" "" а давать завтра "" настаивать чисто креативе живёт идея вкинуть — решать"
В детстве я очень сильно уважал своего отца. Потому что он каждый день меня об этом спрашивал.	1	в детстве я очень сильно уважал своего отца потому что он каждый день меня об этом спрашивал	детство очень сильно уважать свой отец каждый день спрашивать
"Курить по три пачки сигарет в день - это конечно сложный путь







Но разве нам нужны лёгкие?"	1	курить по три пачки сигарет в день это конечно сложный путь но разве нам нужны лёгкие	курить пачка сигарета день это сложный путь нам нужный лёгкий
Если в колбасе нашли мясо, значит, на заводе произошел несчастный случай.	1	если в колбасе нашли мясо значит на заводе произошел несчастный случай	колбаса найти мясо значить завод произойти несчастный случай
«Вам ли не знать, что Русь исторически принадлежала Орде». Президент Монголии объявил Путину о походе на Москву	1	«вам ли не знать что русь исторически принадлежала орде» президент монголии объявил путину о походе на москву	""" вам знать русь исторически принадлежать орде "" президент монголия объявить путин походе москва"
Я не боюсь шутить про дьявола, потому что я абсолютно уверен, никто из вас сейчас из зала не выкрикнет «Э! Э! Не шути про дьявола, у меня брат черт!»	1	я не боюсь шутить про дьявола потому что я абсолютно уверен никто из вас сейчас из зала не выкрикнет «э э не шути про дьявола у меня брат черт»	"бояться шутить дьявол абсолютно уверенный никто зал выкрикнуть "" э э шути дьявол брат чёрт """
"Парень приводит девушку к себе домой знакомится.
Она заходя в прихожую комнату громко перданула, смущаясь и смотря на потолок говорит:
- Какая у тебя красивая люстра!
А парень ей:
- В зал зайдешь вообще обосрешься"	1	парень приводит девушку к себе домой знакомится она заходя в прихожую комнату громко перданула смущаясь и смотря на потолок говорит какая у тебя красивая люстра а парень ей в зал зайдешь вообще обосрешься	парень приводить девушка домой знакомиться заходить прихожую комната громко перданула смущаться смотреть потолок говорить красивый люстра парень зал зайдешь вообще обосрешься
"- Товарищ прапорщик, какая ваша любимая игра?
- Футбол.
- А какая любимая команда?
- Пота подъёёёёём!"	1	товарищ прапорщик какая ваша любимая игра футбол а какая любимая команда пота подъёёёёём	товарищ прапорщик ваш любимый игра футбол любимый команда пот подъёёёёём
"Сломал мужик челюсть, лежит в больнице, весь в скобках и распорках.
Приходит жена, приносит передачку:
— Вот я тебе тут принесла морковочку, редисочку, яблочек, ты же любишь яблочки. Ну поправляйся. Что тебе в следующий раз принести?
— Аефкоф."	1	сломал мужик челюсть лежит в больнице весь в скобках и распорках приходит жена приносит передачку — вот я тебе тут принесла морковочку редисочку яблочек ты же любишь яблочки ну поправляйся что тебе в следующий раз принести — аефкоф	сломать мужик челюсть лежать больница весь скобка распорках приходить жена приносить передачка — тебе принести морковочку редисочку яблочек любить яблочки поправляйся тебе следовать принести — аефкоф
"В женское отделение бани заходит голый мужик. Бабы визжат:
— Мужик, ты что? Тебе в мужское отделение надо!
Мужик, удивленно:
— Лол я чё пидор?"	1	в женское отделение бани заходит голый мужик бабы визжат — мужик ты что тебе в мужское отделение надо мужик удивленно — лол я чё пидор	женский отделение баня заходить голый мужик бабы визжат — мужик тебе мужской отделение мужик удивленно — лол что пидор
Си Цзиньпин сообщил, что следующий визит Путина в Китай состоится в Хабаровске	1	си цзиньпин сообщил что следующий визит путина в китай состоится в хабаровске	си цзиньпин сообщить следующий визит путин китай состояться хабаровске
Колобок повесился, Буратино утонул, Антон Чигур никого не убивал	1	колобок повесился буратино утонул антон чигур никого не убивал	колобок повеситься буратино утонуть антон чигур никто убивать
"Он: - Налить вам шампанского?
Она: - Знаете, когда я смотрю на бокал и вижу, как в нем поднимаются и лопаются пузырьки, то это мне напоминает о бренности нашей жизни...
Он: - Может, тогда пива?
Она: - А от пива мне пердеть хочется"	1	он налить вам шампанского она знаете когда я смотрю на бокал и вижу как в нем поднимаются и лопаются пузырьки то это мне напоминает о бренности нашей жизни он может тогда пива она а от пива мне пердеть хочется	налить шампанского знать смотреть бокал видеть нем подниматься лопаться пузырёк это напоминать бренность наш жизнь пиво пиво пердеть хотеться
"Вышла женщина замуж. Встречает после первой брачной ночи подругу. Подруга:
- Ну что, мальчик будет или девочка?
Женщина:
- Да что ты, родная, у меня же пизда, а не ""полароид""!"	1	вышла женщина замуж встречает после первой брачной ночи подругу подруга ну что мальчик будет или девочка женщина да что ты родная у меня же пизда а не полароид	выйти женщина замуж встречать первый брачной ночь подруга подруга мальчик девочка женщина родный пизда полароид
"Молодой парень подкатывает к девушке:
- Девушка, ваши родители случайно не администраторы политических пабликов вк?
- Нет.
- Тогда откуда у них такая дебильная хуйня, привлекающая молодых безработных девственников?"	1	молодой парень подкатывает к девушке девушка ваши родители случайно не администраторы политических пабликов вк нет тогда откуда у них такая дебильная хуйня привлекающая молодых безработных девственников	молодой парень подкатывать девушка девушка ваш родитель случайно администратор политический пабликов вк откуда такой дебильный хуйня привлекать молодой безработный девственник
